Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,0.31,0.9099999999999999,0.516868645466628
75% Corpus,5,0.31,symmetric,0.4012432488439863
75% Corpus,5,0.61,0.01,0.4235683621782562
75% Corpus,5,0.61,0.31,0.4515236978304751
75% Corpus,5,0.61,0.61,0.5077077237964007
75% Corpus,5,0.61,0.9099999999999999,0.5101343360802718
75% Corpus,5,0.61,symmetric,0.4063017296726145
75% Corpus,5,0.9099999999999999,0.01,0.441877941024968
75% Corpus,5,0.9099999999999999,0.31,0.4476478193770048
75% Corpus,5,0.9099999999999999,0.61,0.5063727776568798
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.5046342503498241
75% Corpus,5,0.9099999999999999,symmetric,0.4236921502860196
75% Corpus,5,symmetric,0.01,0.40723786948680624
75% Corpus,5,symmetric,0.31,0.4000622697327036
75% Corpus,5,symmetric,0.61,0.502536178491223
75% Corpus,5,symmetric,0.9099999999999999,0.5286488435572229
75% Corpus,5,symmetric,symmetric,0.3906160273792757
75% Corpus,5,asymmetric,0.01,0.37519636006043217
75% Corpus,5,asymmetric,0.31,0.4705974271147662
75% Corpus,5,asymmetric,0.61,0.4803562936262561
75% Corpus,5,asymmetric,0.9099999999999999,0.4963537755299784
75% Corpus,5,asymmetric,symmetric,0.3988694604978519
75% Corpus,6,0.01,0.01,0.4798280054113952
75% Corpus,6,0.01,0.31,0.47689310178028826
75% Corpus,6,0.01,0.61,0.47059375537994247
75% Corpus,6,0.01,0.9099999999999999,0.4678040023385022
75% Corpus,6,0.01,symmetric,0.48999381218643306
75% Corpus,6,0.31,0.01,0.4992787757575607
75% Corpus,6,0.31,0.31,0.49636844093260657
75% Corpus,6,0.31,0.61,0.4643638537321743
75% Corpus,6,0.31,0.9099999999999999,0.48441160467924066
75% Corpus,6,0.31,symmetric,0.4913531185101938
75% Corpus,6,0.61,0.01,0.49772977010162506
75% Corpus,6,0.61,0.31,0.5000764902034146
75% Corpus,6,0.61,0.61,0.5095594231528676
75% Corpus,6,0.61,0.9099999999999999,0.5066192473420498
75% Corpus,6,0.61,symmetric,0.5000764902034146
75% Corpus,6,0.9099999999999999,0.01,0.5175235090534508
75% Corpus,6,0.9099999999999999,0.31,0.5378293733749607
75% Corpus,6,0.9099999999999999,0.61,0.5722555558153462
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.6074533606319733
75% Corpus,6,0.9099999999999999,symmetric,0.534975342882315
75% Corpus,6,symmetric,0.01,0.4888645822093977
75% Corpus,6,symmetric,0.31,0.47819039559018767
75% Corpus,6,symmetric,0.61,0.4707705180020265
75% Corpus,6,symmetric,0.9099999999999999,0.49386523609198685
75% Corpus,6,symmetric,symmetric,0.48568525221766495
75% Corpus,6,asymmetric,0.01,0.4582605443273993
75% Corpus,6,asymmetric,0.31,0.4557164042822575
75% Corpus,6,asymmetric,0.61,0.49890543950295746
75% Corpus,6,asymmetric,0.9099999999999999,0.5031907275714455
75% Corpus,6,asymmetric,symmetric,0.4746203744824032
75% Corpus,7,0.01,0.01,0.5083276396216176
75% Corpus,7,0.01,0.31,0.5038520045195274
75% Corpus,7,0.01,0.61,0.515818127264878
75% Corpus,7,0.01,0.9099999999999999,0.511559715943181
75% Corpus,7,0.01,symmetric,0.5160346809902145
75% Corpus,7,0.31,0.01,0.5009296807824342
75% Corpus,7,0.31,0.31,0.5222095634999224
75% Corpus,7,0.31,0.61,0.5188707155243267
75% Corpus,7,0.31,0.9099999999999999,0.5334617265769375
75% Corpus,7,0.31,symmetric,0.5298137613216607
75% Corpus,7,0.61,0.01,0.4973439073313024
75% Corpus,7,0.61,0.31,0.5142071009027182
75% Corpus,7,0.61,0.61,0.5424916834351962
75% Corpus,7,0.61,0.9099999999999999,0.5377341276388768
75% Corpus,7,0.61,symmetric,0.4891061755702782
75% Corpus,7,0.9099999999999999,0.01,0.5010135410916202
75% Corpus,7,0.9099999999999999,0.31,0.49640732180962216
75% Corpus,7,0.9099999999999999,0.61,0.5495118438055867
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.5839925739922258
75% Corpus,7,0.9099999999999999,symmetric,0.49464163614476647
75% Corpus,7,symmetric,0.01,0.5020212107733821
75% Corpus,7,symmetric,0.31,0.5122914702369066
75% Corpus,7,symmetric,0.61,0.5053543209355505
75% Corpus,7,symmetric,0.9099999999999999,0.5324452987271528
75% Corpus,7,symmetric,symmetric,0.5221118020171234
75% Corpus,7,asymmetric,0.01,0.5058203753105737
75% Corpus,7,asymmetric,0.31,0.52144961504873
75% Corpus,7,asymmetric,0.61,0.5176600232944576
75% Corpus,7,asymmetric,0.9099999999999999,0.4967890709893081
75% Corpus,7,asymmetric,symmetric,0.5274312359621793
75% Corpus,8,0.01,0.01,0.50570688326033
75% Corpus,8,0.01,0.31,0.49092567900046274
75% Corpus,8,0.01,0.61,0.4562538892294921
75% Corpus,8,0.01,0.9099999999999999,0.496242473282672
75% Corpus,8,0.01,symmetric,0.5113839610368893
75% Corpus,8,0.31,0.01,0.47997239829969757
75% Corpus,8,0.31,0.31,0.5103021671191972
75% Corpus,8,0.31,0.61,0.4538732532215212
75% Corpus,8,0.31,0.9099999999999999,0.5069273174190365
75% Corpus,8,0.31,symmetric,0.5070275611646711
75% Corpus,8,0.61,0.01,0.4806822232310958
75% Corpus,8,0.61,0.31,0.503260506767652
75% Corpus,8,0.61,0.61,0.4482103860048918
75% Corpus,8,0.61,0.9099999999999999,0.5141406183895854
75% Corpus,8,0.61,symmetric,0.4916520510582625
75% Corpus,8,0.9099999999999999,0.01,0.485366421311057
75% Corpus,8,0.9099999999999999,0.31,0.4665315651823916
75% Corpus,8,0.9099999999999999,0.61,0.41240625245385787
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.47079389676207306
75% Corpus,8,0.9099999999999999,symmetric,0.47285802479678973
